Time_id	Month	Year
210367	1	2014
90375	1	2015
210368	2	2014
90372	2	2015
210357	3	2014
90357	3	2015
250366	4	2014
130358	4	2015
250364	5	2014
130357	5	2015
250357	6	2014
130360	6	2015
290357	7	2014
1	7	2015
290378	8	2014
14	8	2015
290358	9	2014
42	9	2015
330362	10	2014
170357	10	2015
330357	11	2014
170358	11	2015
330365	12	2014
170382	12	2015
