Men,Women,Total,Tendency
0,1,1,NA
1,0,1,NA
1,1,2,NA
0,1,1,NA
2,1,3,NA
1,0,1,NA
0,1,1,NA
30,41,71,women
199,449,648,women
49,49,98,NA
18,1,19,NA
2,1,3,NA
96,108,204,NA
221,173,394,men
8,12,20,NA
3,1,4,NA
0,1,1,NA
0,9,9,NA
6,21,27,NA
11,28,39,women
1,0,1,NA
14,45,59,women
52,83,135,women
0,1,1,NA
0,1,1,NA
1,0,1,NA
16,16,32,NA
0,2,2,NA
1,0,1,NA
0,1,1,NA
5,8,13,NA
4,5,9,NA
0,1,1,NA
0,7,7,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
0,7,7,NA
0,1,1,NA
1,0,1,NA
1,1,2,NA
1,2,3,NA
1,0,1,NA
13,67,80,women
0,1,1,NA
0,2,2,NA
13,3,16,NA
0,3,3,NA
0,1,1,NA
0,1,1,NA
1,2,3,NA
3,2,5,NA
11,13,24,NA
105,196,301,women
22,46,68,women
1,0,1,NA
0,2,2,NA
3,8,11,NA
6,11,17,NA
135,260,395,women
1,0,1,NA
24,83,107,women
22,27,49,women
289,406,695,women
305,289,594,NA
76,98,174,women
48,64,112,women
7,7,14,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
33,51,84,women
0,17,17,NA
0,2,2,NA
0,190,190,women
0,1,1,NA
78,82,160,NA
0,1,1,NA
82,73,155,NA
16,25,41,women
1,2,3,NA
0,5,5,NA
2,1,3,NA
6,2,8,NA
0,2,2,NA
0,1,1,NA
2,0,2,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
51,87,138,women
2,3,5,NA
0,1,1,NA
48,114,162,women
2,6,8,NA
0,2,2,NA
0,2,2,NA
177,212,389,NA
6,4,10,NA
1,9,10,NA
1,0,1,NA
4,10,14,NA
3,2,5,NA
65,85,150,women
2,16,18,NA
41,37,78,NA
1,6,7,NA
1,0,1,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
7,11,18,NA
22,28,50,women
2,0,2,NA
7,10,17,NA
1,1,2,NA
4,3,7,NA
140,360,500,women
17,14,31,NA
2,1,3,NA
0,1,1,NA
4,6,10,NA
35,38,73,NA
1,0,1,NA
1,0,1,NA
0,1,1,NA
1,5,6,NA
6,7,13,NA
1,0,1,NA
0,1,1,NA
9,6,15,NA
9,13,22,NA
1,4,5,NA
2,6,8,NA
0,1,1,NA
1,2,3,NA
2,0,2,NA
6,8,14,NA
1,1,2,NA
0,1,1,NA
52,47,99,NA
0,1,1,NA
0,1,1,NA
0,3,3,NA
0,1,1,NA
0,3,3,NA
1,2,3,NA
0,1,1,NA
7,6,13,NA
1,1,2,NA
0,3,3,NA
1,5,6,NA
0,1,1,NA
28,20,48,men
0,3,3,NA
0,1,1,NA
41,76,117,women
17,49,66,women
2,4,6,NA
2,4,6,NA
31,0,31,men
1,3,4,NA
4,15,19,NA
2,10,12,NA
1,2,3,NA
3,2,5,NA
1,10,11,NA
0,4,4,NA
1,0,1,NA
0,1,1,NA
2,0,2,NA
167,138,305,NA
0,2,2,NA
1,0,1,NA
1,0,1,NA
3,3,6,NA
1,1,2,NA
4,10,14,NA
153,120,273,men
25,77,102,women
4,9,13,NA
1,1,2,NA
0,1,1,NA
3,0,3,NA
24,51,75,women
23,24,47,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
3,3,6,NA
183,660,843,women
3,8,11,NA
2,3,5,NA
0,4,4,NA
0,2,2,NA
0,2,2,NA
1,0,1,NA
10,6,16,NA
44,159,203,women
2,17,19,NA
219,437,656,women
13,12,25,NA
25,33,58,women
1,1,2,NA
2,2,4,NA
53,74,127,women
1,4,5,NA
15,60,75,women
26,52,78,women
2,1,3,NA
0,2,2,NA
110,341,451,women
4,6,10,NA
47,79,126,women
8,6,14,NA
53,1059,1112,women
4,46,50,women
23,36,59,women
13,13,26,NA
48,30,78,men
45,45,90,NA
189,147,336,men
204,273,477,women
36,45,81,women
540,757,1297,women
16,14,30,NA
3,1,4,NA
0,3,3,NA
8,40,48,women
0,1,1,NA
10,26,36,women
78,173,251,women
1,3,4,NA
58,57,115,NA
298,306,604,NA
6,10,16,NA
36,52,88,women
148,11,159,men
58,5,63,men
4,4,8,NA
113,109,222,NA
50,60,110,NA
176,360,536,women
0,5,5,NA
11,13,24,NA
41,38,79,NA
29,35,64,NA
7,9,16,NA
406,270,676,men
55,50,105,NA
2,9,11,NA
70,167,237,women
179,215,394,NA
45,43,88,NA
6,7,13,NA
0,2,2,NA
0,1,1,NA
0,1,1,NA
3,5,8,NA
14,48,62,women
2,3,5,NA
0,1,1,NA
1,0,1,NA
1,0,1,NA
0,2,2,NA
361,1041,1402,women
1,0,1,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
28,21,49,men
2,2,4,NA
6,9,15,NA
0,2,2,NA
6,10,16,NA
1,1,2,NA
11,23,34,women
28,36,64,women
1,0,1,NA
81,212,293,women
2,1,3,NA
0,4,4,NA
0,4,4,NA
3,1,4,NA
1,1,2,NA
2,3,5,NA
1,14,15,NA
0,2,2,NA
0,4,4,NA
0,1,1,NA
0,3,3,NA
0,1,1,NA
5,18,23,NA
19,24,43,women
19,65,84,women
0,1,1,NA
0,1,1,NA
10,48,58,women
30,432,462,women
1,0,1,NA
0,1,1,NA
1,0,1,NA
50,85,135,women
37,49,86,women
0,4,4,NA
1,0,1,NA
82,90,172,NA
11,18,29,NA
4,2,6,NA
4,2,6,NA
232,482,714,women
11,11,22,NA
176,152,328,NA
16,22,38,women
3,1,4,NA
0,1,1,NA
3,2,5,NA
2,0,2,NA
3,16,19,NA
13,1,14,NA
1,0,1,NA
2,20,22,NA
2,13,15,NA
0,1,1,NA
1,6,7,NA
1,3,4,NA
2,0,2,NA
0,2,2,NA
0,1,1,NA
22,42,64,women
1,8,9,NA
22,49,71,women
1,0,1,NA
7,16,23,NA
0,1,1,NA
0,53,53,women
10,28,38,women
4,14,18,NA
1,1,2,NA
1,5,6,NA
1,0,1,NA
0,1,1,NA
21,26,47,women
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
1,2,3,NA
0,1,1,NA
34,75,109,women
5,11,16,NA
0,4,4,NA
3,5,8,NA
1,0,1,NA
2,0,2,NA
1,3,4,NA
14,23,37,women
0,1,1,NA
0,1,1,NA
0,1,1,NA
44,47,91,NA
46,80,126,women
2,1,3,NA
379,643,1022,women
284,416,700,women
133,15,148,men
122,197,319,women
259,256,515,NA
1,2,3,NA
57,80,137,women
7,10,17,NA
0,1,1,NA
1,4,5,NA
401,406,807,NA
0,5,5,NA
3,1,4,NA
18,8,26,NA
3,6,9,NA
1,3,4,NA
18,32,50,women
16,36,52,women
11,38,49,women
4,12,16,NA
14,28,42,women
5,16,21,NA
0,3,3,NA
0,1,1,NA
0,8,8,NA
0,5,5,NA
0,2,2,NA
2,5,7,NA
23,59,82,women
3,32,35,women
1,3,4,NA
1,8,9,NA
1,1,2,NA
0,2,2,NA
1,0,1,NA
0,1,1,NA
1,0,1,NA
0,3,3,NA
1,1,2,NA
3,2,5,NA
0,1,1,NA
1,0,1,NA
0,2,2,NA
1,1,2,NA
20,50,70,women
1,0,1,NA
0,1,1,NA
0,1,1,NA
704,783,1487,NA
1,4,5,NA
3,6,9,NA
1,4,5,NA
0,1,1,NA
167,329,496,women
0,1,1,NA
409,759,1168,women
3,1,4,NA
19,7,26,NA
77,69,146,NA
276,1194,1470,women
93,81,174,NA
984,599,1583,men
0,2,2,NA
0,58,58,women
287,455,742,women
12,7,19,NA
185,395,580,women
36,108,144,women
102,90,192,NA
102,130,232,women
74,127,201,women
22,55,77,women
459,561,1020,women
54,219,273,women
3,9,12,NA
32,50,82,women
2,113,115,women
0,3,3,NA
6,1,7,NA
2,7,9,NA
1,1,2,NA
643,2443,3086,women
813,921,1734,NA
7,25,32,women
9,19,28,NA
18,16,34,NA
14,17,31,NA
7,2,9,NA
0,1,1,NA
26,25,51,NA
7,8,15,NA
160,125,285,men
2,6,8,NA
99,100,199,NA
60,66,126,NA
0,1,1,NA
4,2,6,NA
16,171,187,women
24,19,43,men
10,5,15,NA
3,17,20,NA
37,59,96,women
16,21,37,women
153,259,412,women
9,22,31,women
3,3,6,NA
38,25,63,men
1,3,4,NA
162,171,333,NA
473,494,967,NA
73,100,173,women
3,3,6,NA
2,2,4,NA
97,177,274,women
65,91,156,women
57,88,145,women
40,942,982,women
8,1,9,NA
1,3,4,NA
1148,919,2067,men
299,319,618,NA
22,17,39,men
27,55,82,women
11,13,24,NA
0,111,111,women
78,45,123,men
19,18,37,NA
0,152,152,women
1,5,6,NA
0,3,3,NA
2,0,2,NA
143,263,406,women
16,24,40,women
30,48,78,women
9,14,23,NA
12,14,26,NA
118,141,259,NA
21,33,54,women
11,8,19,NA
19,68,87,women
1,1,2,NA
0,6,6,NA
519,842,1361,women
1,0,1,NA
1,0,1,NA
0,1,1,NA
13,16,29,NA
11,8,19,NA
0,1,1,NA
22,71,93,women
6,17,23,NA
0,1,1,NA
32,61,93,women
0,1,1,NA
1,2,3,NA
0,1,1,NA
7,4,11,NA
1,1,2,NA
0,2,2,NA
1,1,2,NA
5,3,8,NA
0,5,5,NA
5,13,18,NA
2,2,4,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
16,32,48,women
2,4,6,NA
1,0,1,NA
53,31,84,men
0,1,1,NA
5,7,12,NA
4,15,19,NA
46,382,428,women
1,4,5,NA
75,132,207,women
0,20,20,NA
0,7,7,NA
0,7,7,NA
1,352,353,women
0,438,438,women
3,1136,1139,women
4,19,23,NA
51,70,121,women
4,4,8,NA
2,2,4,NA
0,2,2,NA
0,1,1,NA
0,2,2,NA
61,81,142,women
502,914,1416,women
85,146,231,women
39,70,109,women
13,16,29,NA
14,6,20,NA
5,20,25,NA
2,0,2,NA
1,3,4,NA
0,2,2,NA
7,15,22,NA
0,1,1,NA
0,5,5,NA
2,3,5,NA
48,50,98,NA
0,1,1,NA
20,21,41,NA
5,3,8,NA
2,1,3,NA
1,1,2,NA
5,7,12,NA
0,1,1,NA
1,2,3,NA
4,7,11,NA
0,1,1,NA
1,1,2,NA
3,1,4,NA
3,5,8,NA
0,6,6,NA
0,1,1,NA
4,7,11,NA
0,24,24,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
0,2,2,NA
1,14,15,NA
27,55,82,women
0,16,16,NA
0,3,3,NA
0,2,2,NA
2,3,5,NA
1,1,2,NA
4,6,10,NA
3,5,8,NA
0,1,1,NA
72,80,152,NA
18,33,51,women
25,19,44,men
462,819,1281,women
9,10,19,NA
573,1482,2055,women
12,15,27,NA
132,242,374,women
22,18,40,men
38,38,76,NA
8,4,12,NA
3,8,11,NA
1,4,5,NA
35,18,53,men
1,0,1,NA
13,14,27,NA
0,2,2,NA
2,5,7,NA
0,2,2,NA
0,1,1,NA
0,2,2,NA
1,0,1,NA
79,177,256,women
0,5,5,NA
0,2,2,NA
17,40,57,women
6,24,30,women
5,15,20,NA
32,78,110,women
12,65,77,women
2,7,9,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
1,0,1,NA
0,1,1,NA
0,2,2,NA
0,1,1,NA
0,6,6,NA
0,1,1,NA
3,8,11,NA
8,8,16,NA
9,31,40,women
1,7,8,NA
1,0,1,NA
1,2,3,NA
2,6,8,NA
2,0,2,NA
274,250,524,NA
0,1,1,NA
1,0,1,NA
1,2,3,NA
14,29,43,women
2,1,3,NA
0,2,2,NA
1,26,27,NA
2,0,2,NA
3,1,4,NA
16,8,24,NA
23,41,64,women
26,38,64,women
9,105,114,women
0,2,2,NA
3,0,3,NA
2,7,9,NA
47,65,112,women
1,1,2,NA
2,8,10,NA
9,17,26,NA
198,503,701,women
27,6,33,men
5,1,6,NA
5,10,15,NA
1,5,6,NA
2,8,10,NA
1010,665,1675,men
0,1,1,NA
1,5,6,NA
3,12,15,NA
1,4,5,NA
110,109,219,NA
1,3,4,NA
189,308,497,women
33,117,150,women
2,14,16,NA
1,0,1,NA
0,2,2,NA
1,0,1,NA
6,18,24,NA
2,12,14,NA
4,22,26,NA
14,70,84,women
2,2,4,NA
2,119,121,women
31,71,102,women
32,35,67,NA
2,4,6,NA
1,167,168,women
5,12,17,NA
29,1,30,men
0,2,2,NA
1,1,2,NA
0,1,1,NA
1,3,4,NA
0,2,2,NA
2,15,17,NA
2,2,4,NA
0,8,8,NA
6,10,16,NA
2,202,204,women
14,1,15,NA
0,1,1,NA
519,583,1102,NA
0,1,1,NA
4,1,5,NA
11,29,40,women
0,1,1,NA
23,54,77,women
3,8,11,NA
23,44,67,women
1,2,3,NA
1,0,1,NA
7,7,14,NA
21,55,76,women
19,41,60,women
45,127,172,women
58,162,220,women
1,2,3,NA
45,50,95,NA
1,0,1,NA
379,251,630,men
4,1,5,NA
4,3,7,NA
5,26,31,women
0,2,2,NA
0,5,5,NA
1,0,1,NA
0,1,1,NA
0,3,3,NA
1,3,4,NA
5,12,17,NA
1,3,4,NA
0,1,1,NA
11,4,15,NA
9,9,18,NA
2,0,2,NA
3,1,4,NA
1,8,9,NA
31,36,67,NA
10,3,13,NA
1,13,14,NA
2,5,7,NA
2,1,3,NA
1,3,4,NA
4,33,37,women
0,2,2,NA
8,8,16,NA
0,1,1,NA
19,26,45,women
2,5,7,NA
0,2,2,NA
63,113,176,women
20,3,23,NA
29,21,50,men
1,1,2,NA
6,16,22,NA
2,2,4,NA
5,9,14,NA
4,4,8,NA
435,436,871,NA
86,142,228,women
7,7,14,NA
79,119,198,women
76,76,152,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
0,1,1,NA
0,2,2,NA
2,0,2,NA
0,1,1,NA
0,1,1,NA
13,24,37,women
8,5,13,NA
3,0,3,NA
2,2,4,NA
5,5,10,NA
0,3,3,NA
1,1,2,NA
1,2,3,NA
2,1,3,NA
2,1,3,NA
3,0,3,NA
773,1443,2216,women
6,12,18,NA
85,72,157,NA
2,4,6,NA
5,12,17,NA
0,1,1,NA
5,8,13,NA
5,6,11,NA
6,7,13,NA
1,1,2,NA
0,1,1,NA
25,86,111,women
0,2,2,NA
0,6,6,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
29,26,55,NA
3,17,20,NA
1,1,2,NA
0,1,1,NA
30,66,96,women
1,1,2,NA
1,1,2,NA
1,0,1,NA
15,32,47,women
14,15,29,NA
16,15,31,NA
0,1,1,NA
165,123,288,men
0,1,1,NA
119,115,234,NA
0,1,1,NA
2,0,2,NA
38,38,76,NA
30,36,66,NA
105,299,404,women
47,123,170,women
61,65,126,NA
20,16,36,men
18,9,27,NA
102,113,215,NA
8,16,24,NA
10,23,33,women
0,8,8,NA
0,1,1,NA
9,20,29,NA
0,1,1,NA
1,6,7,NA
11,7,18,NA
0,2,2,NA
1,0,1,NA
0,1,1,NA
5,1,6,NA
0,1,1,NA
1,0,1,NA
15,33,48,women
1,4,5,NA
11,23,34,women
4,14,18,NA
1,1,2,NA
0,1,1,NA
0,2,2,NA
4,69,73,women
1,2,3,NA
0,1,1,NA
36,11,47,men
0,1,1,NA
2,4,6,NA
71,134,205,women
24,98,122,women
7,4,11,NA
1,4,5,NA
3,5,8,NA
1,0,1,NA
28,50,78,women
1,0,1,NA
23,51,74,women
2,0,2,NA
73,93,166,women
2,1,3,NA
0,1,1,NA
24,13,37,men
1,3,4,NA
1,0,1,NA
123,226,349,women
1,0,1,NA
0,1,1,NA
1,0,1,NA
1,0,1,NA
1,2,3,NA
0,2,2,NA
1,1,2,NA
2,1,3,NA
0,1,1,NA
1,0,1,NA
0,2,2,NA
1,0,1,NA
0,1,1,NA
13,27,40,women
0,1,1,NA
1,1,2,NA
226,350,576,women
6,2,8,NA
1,0,1,NA
15,39,54,women
391,1001,1392,women
9,25,34,women
0,1,1,NA
3,4,7,NA
11,31,42,women
14,8,22,NA
3,8,11,NA
5,10,15,NA
3,10,13,NA
62,105,167,women
327,834,1161,women
1,2,3,NA
5,3,8,NA
31,50,81,women
42,114,156,women
0,2,2,NA
3,11,14,NA
5,7,12,NA
0,5,5,NA
15,4,19,NA
0,2,2,NA
0,1,1,NA
0,3,3,NA
0,1,1,NA
8,15,23,NA
838,890,1728,NA
19,20,39,NA
4,9,13,NA
0,2,2,NA
1,2,3,NA
38,59,97,women
12,27,39,women
0,2,2,NA
1,1,2,NA
97,155,252,women
6,15,21,NA
2,5,7,NA
0,3,3,NA
1,3,4,NA
0,1,1,NA
1,1,2,NA
30,23,53,men
5,18,23,NA
79,41,120,men
5,1,6,NA
33,113,146,women
14,62,76,women
2,4,6,NA
122,111,233,NA
13,26,39,women
94,211,305,women
1,0,1,NA
1,8,9,NA
3,1,4,NA
0,1,1,NA
9,19,28,NA
2,1,3,NA
1,4,5,NA
8,7,15,NA
1,0,1,NA
1,0,1,NA
74,98,172,women
7,5,12,NA
29,40,69,women
274,310,584,NA
0,1,1,NA
0,1,1,NA
63,78,141,women
0,2,2,NA
2,1,3,NA
1,1,2,NA
5,16,21,NA
1,0,1,NA
22,24,46,NA
1,4,5,NA
20,48,68,women
2,10,12,NA
58,53,111,NA
1,2,3,NA
0,2,2,NA
2,2,4,NA
1,0,1,NA
14,24,38,women
0,1,1,NA
0,1,1,NA
0,3,3,NA
1,2,3,NA
4,29,33,women
0,3,3,NA
0,3,3,NA
1,0,1,NA
22,14,36,men
44,28,72,men
0,1,1,NA
3,4,7,NA
0,1,1,NA
1,1,2,NA
0,3,3,NA
0,5,5,NA
2,2,4,NA
98,116,214,NA
2,5,7,NA
62,101,163,women
10,16,26,NA
3,4,7,NA
3,4,7,NA
91,169,260,women
0,15,15,NA
72,84,156,NA
0,1,1,NA
20,31,51,women
195,854,1049,women
66,73,139,NA
33,78,111,women
8,10,18,NA
46,76,122,women
16,21,37,women
31,119,150,women
0,4,4,NA
23,38,61,women
8,4,12,NA
1,3,4,NA
0,20,20,NA
97,10,107,men
0,2,2,NA
702,967,1669,women
380,563,943,women
1,1,2,NA
78,132,210,women
30,22,52,men
2,5,7,NA
16,30,46,women
2,1,3,NA
2,2,4,NA
1,0,1,NA
1,1,2,NA
68,112,180,women
41,88,129,women
15,14,29,NA
4,12,16,NA
2,6,8,NA
1,0,1,NA
1,1,2,NA
7,10,17,NA
0,2,2,NA
0,1,1,NA
36,23,59,men
0,1,1,NA
0,5,5,NA
2,10,12,NA
0,1,1,NA
194,217,411,NA
0,3,3,NA
6,2,8,NA
1,1,2,NA
2,1,3,NA
5,34,39,women
7,10,17,NA
4,9,13,NA
0,1,1,NA
0,99,99,women
33,42,75,women
43,47,90,NA
1,4,5,NA
88,147,235,women
120,8,128,men
11,49,60,women
32,25,57,men
34,17,51,men
49,97,146,women
35,35,70,NA
20,22,42,NA
33,73,106,women
0,16,16,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
1,3,4,NA
25,28,53,NA
2,27,29,NA
1,0,1,NA
19,6,25,NA
2,2,4,NA
30,6,36,men
112,142,254,women
38,112,150,women
2,2,4,NA
14,34,48,women
307,313,620,NA
1,6,7,NA
5,12,17,NA
0,1,1,NA
26,35,61,women
1,0,1,NA
3,5,8,NA
340,881,1221,women
1,1,2,NA
16,39,55,women
597,1209,1806,women
0,2,2,NA
100,137,237,women
0,1,1,NA
2,4,6,NA
2,8,10,NA
4,3,7,NA
14,26,40,women
1,1,2,NA
0,8,8,NA
2,1,3,NA
1,0,1,NA
5,13,18,NA
1,5,6,NA
76,78,154,NA
28,6,34,men
0,3,3,NA
0,1,1,NA
792,1466,2258,women
0,2,2,NA
10,8,18,NA
3,1,4,NA
24,25,49,NA
6,10,16,NA
71,271,342,women
2,2,4,NA
3,9,12,NA
3,7,10,NA
4,6,10,NA
15,25,40,women
12,18,30,women
1,2,3,NA
9,14,23,NA
0,1,1,NA
0,2,2,NA
17,43,60,women
4,11,15,NA
1,0,1,NA
6,5,11,NA
0,1,1,NA
4,10,14,NA
9,3,12,NA
27,18,45,men
5,1,6,NA
2,13,15,NA
306,743,1049,women
9,28,37,women
102,299,401,women
52,63,115,NA
3,14,17,NA
1,0,1,NA
0,1,1,NA
101,281,382,women
1,3,4,NA
4,8,12,NA
0,3,3,NA
6,16,22,NA
0,2,2,NA
10,23,33,women
272,186,458,men
0,2,2,NA
57,60,117,NA
2,0,2,NA
1,0,1,NA
0,1,1,NA
5,6,11,NA
8,4,12,NA
0,3,3,NA
0,2,2,NA
7,6,13,NA
0,1,1,NA
76,188,264,women
4,1,5,NA
0,2,2,NA
9,11,20,NA
2,12,14,NA
57,54,111,NA
294,1583,1877,women
4,31,35,women
11,17,28,NA
2,1,3,NA
4,231,235,women
121,111,232,NA
0,25,25,NA
3,5,8,NA
0,14,14,NA
35,35,70,NA
22,40,62,women
0,2,2,NA
8,157,165,women
2,3,5,NA
24,21,45,NA
1,2,3,NA
1,4,5,NA
0,235,235,women
0,1,1,NA
9,11,20,NA
117,133,250,NA
3,7,10,NA
0,10,10,NA
0,1,1,NA
0,5,5,NA
59,169,228,women
35,63,98,women
115,100,215,NA
0,2,2,NA
2,2,4,NA
6,7,13,NA
2,0,2,NA
0,3,3,NA
0,1,1,NA
0,2,2,NA
0,1,1,NA
0,4,4,NA
1,2,3,NA
0,1,1,NA
0,1,1,NA
0,18,18,NA
0,7,7,NA
10,11,21,NA
14,12,26,NA
8,10,18,NA
118,231,349,women
7,8,15,NA
18,41,59,women
32,68,100,women
25,60,85,women
1,5,6,NA
1,1,2,NA
0,1,1,NA
2,1,3,NA
0,56,56,women
0,5,5,NA
0,20,20,NA
2,2,4,NA
0,4,4,NA
0,4,4,NA
5,920,925,women
1,1512,1513,women
0,1,1,NA
0,5,5,NA
0,6,6,NA
0,173,173,women
0,4,4,NA
2,2,4,NA
1,6,7,NA
0,1,1,NA
0,1,1,NA
0,2,2,NA
1,4,5,NA
12,46,58,women
0,2,2,NA
3,8,11,NA
0,1,1,NA
1,0,1,NA
0,3,3,NA
1,2,3,NA
0,1,1,NA
1,0,1,NA
1,2,3,NA
1,1,2,NA
0,1,1,NA
1,5,6,NA
4,5,9,NA
19,42,61,women
0,1,1,NA
0,1,1,NA
0,2,2,NA
0,1,1,NA
5,1,6,NA
2,2,4,NA
10,44,54,women
0,2,2,NA
3,4,7,NA
4,11,15,NA
1,0,1,NA
0,13,13,NA
12,31,43,women
247,430,677,women
19,33,52,women
145,190,335,women
141,36,177,men
21,33,54,women
17,28,45,women
445,737,1182,women
243,472,715,women
0,3,3,NA
5,27,32,women
240,460,700,women
5,6,11,NA
20,11,31,men
0,4,4,NA
477,462,939,NA
103,202,305,women
5,10,15,NA
5,16,21,NA
95,214,309,women
4,2,6,NA
6,7,13,NA
2,1,3,NA
1,1,2,NA
11,9,20,NA
4,1,5,NA
45,64,109,women
3,0,3,NA
595,1031,1626,women
0,5,5,NA
33,50,83,women
0,84,84,women
0,112,112,women
294,167,461,men
1284,3385,4669,women
14,91,105,women
219,527,746,women
63,159,222,women
1167,93,1260,men
57,300,357,women
99,351,450,women
112,165,277,women
23,33,56,women
95,130,225,women
5,13,18,NA
3,2,5,NA
1,0,1,NA
16,1,17,NA
80,144,224,women
45,62,107,women
59,41,100,men
24,19,43,men
5,11,16,NA
224,481,705,women
32,59,91,women
10,50,60,women
149,308,457,women
74,125,199,women
46,122,168,women
67,123,190,women
44,36,80,men
35,171,206,women
61,178,239,women
2,2,4,NA
3,10,13,NA
2,7,9,NA
2,5,7,NA
5,5,10,NA
20,24,44,NA
1,0,1,NA
3,0,3,NA
0,1,1,NA
0,2,2,NA
2,3,5,NA
170,434,604,women
36,89,125,women
183,581,764,women
0,1,1,NA
1,0,1,NA
10,15,25,NA
2,0,2,NA
2,15,17,NA
0,10,10,NA
14,5,19,NA
1,6,7,NA
1,3,4,NA
1,1,2,NA
3,0,3,NA
1,0,1,NA
37,176,213,women
0,1,1,NA
13,4,17,NA
0,1,1,NA
10,6,16,NA
2,15,17,NA
1,0,1,NA
0,3,3,NA
2,1,3,NA
10,11,21,NA
1,0,1,NA
0,1,1,NA
41,88,129,women
3,12,15,NA
0,5,5,NA
4,7,11,NA
0,3,3,NA
2,0,2,NA
4,16,20,NA
0,1,1,NA
0,1,1,NA
25,36,61,women
2,0,2,NA
5,6,11,NA
1,0,1,NA
0,4,4,NA
1,0,1,NA
0,2,2,NA
0,2,2,NA
0,1,1,NA
0,3,3,NA
2,0,2,NA
0,2,2,NA
12,25,37,women
0,1,1,NA
9,3,12,NA
1,4,5,NA
0,1,1,NA
0,1,1,NA
10,11,21,NA
32,82,114,women
4,4,8,NA
1,6,7,NA
5,13,18,NA
2,5,7,NA
274,434,708,women
1,4,5,NA
10,6,16,NA
0,1,1,NA
4,18,22,NA
5,12,17,NA
6,8,14,NA
46,40,86,NA
0,1,1,NA
0,2,2,NA
47,81,128,women
66,105,171,women
0,3,3,NA
3,0,3,NA
4,3,7,NA
0,1,1,NA
2,3,5,NA
18,7,25,NA
13,1,14,NA
1,0,1,NA
0,1,1,NA
27,17,44,men
8,4,12,NA
7,4,11,NA
6,77,83,women
6,18,24,NA
97,121,218,women
16,8,24,NA
1,70,71,women
0,1,1,NA
66,135,201,women
0,1,1,NA
1,3,4,NA
191,348,539,women
21,101,122,women
13,0,13,NA
1,0,1,NA
1,0,1,NA
4,0,4,NA
0,1,1,NA
0,1,1,NA
18,45,63,women
16,31,47,women
4,8,12,NA
3,0,3,NA
1,6,7,NA
0,1,1,NA
1,2,3,NA
0,3,3,NA
0,1,1,NA
1,0,1,NA
1,0,1,NA
5,3,8,NA
0,1,1,NA
1,1,2,NA
0,7,7,NA
4,1,5,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
2,1,3,NA
6,106,112,women
17,10,27,NA
0,2,2,NA
0,3,3,NA
1,3,4,NA
1,4,5,NA
5,9,14,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
0,3,3,NA
0,2,2,NA
0,49,49,women
0,22,22,NA
1,9,10,NA
2,1,3,NA
26,77,103,women
0,1,1,NA
0,3,3,NA
7,3,10,NA
0,4,4,NA
0,2,2,NA
0,1,1,NA
5,3,8,NA
75,156,231,women
1,3,4,NA
3,4,7,NA
24,53,77,women
0,1,1,NA
1,2,3,NA
2,4,6,NA
70,1259,1329,women
31,62,93,women
51,41,92,men
3,0,3,NA
4,0,4,NA
33,44,77,women
15,33,48,women
2,0,2,NA
0,5,5,NA
3,1,4,NA
0,1,1,NA
4,7,11,NA
2,5,7,NA
2,0,2,NA
1,87,88,women
447,457,904,NA
25,43,68,women
2,6,8,NA
2,8,10,NA
3,2,5,NA
16,36,52,women
74,135,209,women
0,1,1,NA
0,2,2,NA
0,3,3,NA
0,1,1,NA
0,1,1,NA
4,4,8,NA
1,6,7,NA
35,61,96,women
0,3,3,NA
5,9,14,NA
0,4,4,NA
3,2,5,NA
0,1,1,NA
33,51,84,women
91,130,221,women
9,8,17,NA
1,6,7,NA
3,27,30,women
4,14,18,NA
2,1,3,NA
6,8,14,NA
4,13,17,NA
1,0,1,NA
6,4,10,NA
135,230,365,women
2,5,7,NA
2,224,226,women
36,43,79,NA
9,5,14,NA
0,1,1,NA
0,5,5,NA
0,1,1,NA
7,5,12,NA
0,4,4,NA
5,5,10,NA
3,6,9,NA
63,82,145,women
1,13,14,NA
4,10,14,NA
82,114,196,women
135,271,406,women
1,3,4,NA
13,7,20,NA
34,25,59,men
169,151,320,NA
1,0,1,NA
21,8,29,NA
54,52,106,NA
9,13,22,NA
3,4,7,NA
2,15,17,NA
1,2,3,NA
23,18,41,men
42,65,107,women
37,61,98,women
