Men,Women,Total,Tendency
3,13,16,NA
0,1,1,NA
1,1,2,NA
0,1,1,NA
1,0,1,NA
3,6,9,NA
16,30,46,women
6,4,10,NA
0,1,1,NA
0,1,1,NA
1,55,56,women
0,1,1,NA
10,7,17,NA
2,6,8,NA
1,0,1,NA
41,106,147,women
0,5,5,NA
1,0,1,NA
3,7,10,NA
0,2,2,NA
0,1,1,NA
0,10,10,NA
7,7,14,NA
11,12,23,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
2,2,4,NA
0,2,2,NA
30,65,95,women
8,17,25,NA
2,1,3,NA
2,1,3,NA
3,5,8,NA
1,0,1,NA
17,13,30,men
1,7,8,NA
1,1,2,NA
1,1,2,NA
0,2,2,NA
37,48,85,women
182,214,396,NA
2,2,4,NA
0,1,1,NA
17,21,38,women
47,28,75,men
2,0,2,NA
0,2,2,NA
85,229,314,women
2,2,4,NA
53,53,106,NA
1,19,20,NA
7,10,17,NA
40,44,84,NA
32,38,70,NA
183,449,632,women
297,312,609,NA
1551,69,1620,men
1,16,17,NA
4,186,190,women
89,128,217,women
26,24,50,NA
366,234,600,men
325,527,852,women
225,351,576,women
0,2,2,NA
27,18,45,men
449,617,1066,women
4,22,26,NA
111,166,277,women
0,103,103,women
17,35,52,women
60,102,162,women
2,75,77,women
73,86,159,NA
27,38,65,women
51,129,180,women
98,78,176,men
45,85,130,women
48,107,155,women
7,17,24,NA
5,28,33,women
335,500,835,women
109,174,283,women
266,465,731,women
0,1,1,NA
0,5,5,NA
5,9,14,NA
25,32,57,women
60,117,177,women
11,8,19,NA
3,3,6,NA
22,14,36,men
26,7,33,men
18,22,40,women
0,1,1,NA
9,4,13,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
14,48,62,women
1,7,8,NA
0,2,2,NA
1,3,4,NA
4,24,28,NA
1,0,1,NA
4,13,17,NA
1,1,2,NA
0,2,2,NA
15,8,23,NA
7,5,12,NA
1,8,9,NA
3,2,5,NA
6,15,21,NA
11,17,28,NA
44,87,131,women
2,2,4,NA
0,1,1,NA
0,2,2,NA
0,3,3,NA
3,3,6,NA
23,18,41,men
2,2,4,NA
0,1,1,NA
1,0,1,NA
1,0,1,NA
6,1,7,NA
1,0,1,NA
1,0,1,NA
0,2,2,NA
0,1,1,NA
0,2,2,NA
0,172,172,women
6,12,18,NA
0,2,2,NA
3,4,7,NA
2,5,7,NA
1,3,4,NA
0,5,5,NA
5,26,31,women
0,2,2,NA
8,22,30,women
3,7,10,NA
1,1,2,NA
0,2,2,NA
0,1,1,NA
1,4,5,NA
10,5,15,NA
20,17,37,NA
3,6,9,NA
1,0,1,NA
3,1,4,NA
1,4,5,NA
0,3,3,NA
1,0,1,NA
9,5,14,NA
348,296,644,NA
4,45,49,women
67,57,124,NA
1,1,2,NA
